command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus pc 3 '""../test-data-150MB.txt""'",1.1035262557399999,0.0035266110217659725,1.10204686774,0.0015800999999999999,0.00046313599999999995,1.09958985574,1.11046691574,morloc,pc,3,15
"./nexus pc 3 '""../test-data-160MB.txt""'",1.17750926314,0.0030599998458106857,1.17680669774,0.0015576999999999995,0.00040742,1.1724310867399999,1.1823233707399998,morloc,pc,3,16
"./nexus cp 3 '""../test-data-00MB.txt""'",0.051881912360689654,0.0018374476710271547,0.051700406239999996,0.0013233862068965515,0.0006025344827586207,0.05004778674,0.06111826374,morloc,cp,3,0
"./nexus cp 3 '""../test-data-10MB.txt""'",0.12938588329000003,0.015889963764088827,0.12270137674,0.0015017049999999994,0.00046597800000000003,0.11223425174,0.16950683674000003,morloc,cp,3,1
"./nexus cp 3 '""../test-data-20MB.txt""'",0.1820437725525,0.003550201156612773,0.18089856824000003,0.0016529,0.00010765750000000001,0.17596662074000002,0.19139168074000001,morloc,cp,3,2
"./nexus cp 3 '""../test-data-30MB.txt""'",0.2522431984066667,0.009148013033876037,0.25161083124,0.001340233333333333,0.0005201,0.24247073874000002,0.27016336674,morloc,cp,3,3
"./nexus cp 3 '""../test-data-40MB.txt""'",0.32437614224,0.0016202347192415764,0.32427312474000003,0.0011662999999999999,0.0007247039999999998,0.32245244874,0.32707755274,morloc,cp,3,4
"./nexus cp 3 '""../test-data-50MB.txt""'",0.39255273364,0.004325601736233613,0.39390417674,0.0015259999999999998,0.00021046799999999998,0.38472350674,0.39737555974,morloc,cp,3,5
"./nexus cp 3 '""../test-data-60MB.txt""'",0.46440191443999995,0.005557480231732228,0.46608823674,0.0014379,0.0005161199999999999,0.45502522474,0.47026600774,morloc,cp,3,6
"./nexus cp 3 '""../test-data-70MB.txt""'",0.5298058414400001,0.002654816742308135,0.5293724697400001,0.0012758099999999998,0.00062792,0.52500181574,0.53520510874,morloc,cp,3,7
"./nexus cp 3 '""../test-data-80MB.txt""'",0.5930880893400001,0.003729963170585442,0.5923778877400001,0.0016773999999999997,0.00034555199999999995,0.58860052374,0.60020127974,morloc,cp,3,8
"./nexus cp 3 '""../test-data-90MB.txt""'",0.6606430999400001,0.004242623693345659,0.6606511077400001,0.0014002999999999997,0.0005438200000000001,0.6547568327400001,0.66689435874,morloc,cp,3,9
"./nexus cp 3 '""../test-data-100MB.txt""'",0.72720953914,0.0036506942338113456,0.7268727832400002,0.0013624099999999997,0.00061982,0.7183714077400001,0.7313007237400001,morloc,cp,3,10
"./nexus cp 3 '""../test-data-110MB.txt""'",0.7993594968400001,0.006476215547566702,0.7974912282400001,0.0015387999999999997,0.000392352,0.79270956674,0.8095203837400001,morloc,cp,3,11
"./nexus cp 3 '""../test-data-120MB.txt""'",0.86750908754,0.0034610847769927576,0.8682550537400001,0.0013694100000000002,0.0006101360000000001,0.86136544274,0.8724451167400001,morloc,cp,3,12
"./nexus cp 3 '""../test-data-130MB.txt""'",0.9311082992400002,0.0030689688921906226,0.9306177712400001,0.0011477999999999996,0.0007115039999999998,0.9274000387400001,0.9380926297400001,morloc,cp,3,13
