command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus.py cc 0 '""../test-data-00MB.txt""'",0.05206931213428572,0.0012381573227255344,0.051823888920000005,0.034644967857142855,0.0077419007142857125,0.05044068342000001,0.059644182420000004,morloc,cc,0,0
"./nexus.py cc 1 '""../test-data-00MB.txt""'",0.05089067538491227,0.0006843045097627789,0.05082810142000001,0.03386604210526315,0.007599336842105263,0.04957389442000001,0.05280993742000001,morloc,cc,1,0
"./nexus.py cc 10 '""../test-data-00MB.txt""'",0.0521543945954386,0.0007925246963182899,0.05217875442000001,0.033714410526315776,0.007843845614035089,0.05052945542000001,0.05429637642000001,morloc,cc,10,0
"./nexus.py cc 1000 '""../test-data-00MB.txt""'",0.06044115166333331,0.0007671676504100336,0.06032682308,0.035219269166666664,0.007671283333333337,0.058965007080000006,0.06212396308,morloc,cc,1000,0
"./nexus.py cc 11 '""../test-data-00MB.txt""'",0.05313060297357143,0.0013194261622987184,0.05326432592000001,0.034055414285714285,0.00809568214285714,0.051025099420000004,0.06092217542,morloc,cc,11,0
"./nexus.py cc 12 '""../test-data-00MB.txt""'",0.05313343814222221,0.0007561861592232233,0.05296824692,0.03493177407407407,0.007324851851851851,0.051697306420000005,0.05535825742000001,morloc,cc,12,0
"./nexus.py cc 128 '""../test-data-00MB.txt""'",0.056793648368461534,0.0007937669022344012,0.05681463358,0.03486155923076923,0.008117436153846153,0.054552064080000004,0.05811093508,morloc,cc,128,0
"./nexus.py cc 13 '""../test-data-00MB.txt""'",0.05324698638428572,0.0012117735646970291,0.05318660092000001,0.03424211071428571,0.007835699999999998,0.051599094420000005,0.059570461420000005,morloc,cc,13,0
"./nexus.py cc 14 '""../test-data-00MB.txt""'",0.05318791431090909,0.0008867540636687829,0.05311483242000001,0.0344892,0.007547417454545452,0.05105424242000001,0.055059946420000005,morloc,cc,14,0
"./nexus.py cc 15 '""../test-data-00MB.txt""'",0.05356667911642859,0.0008539954789589702,0.05345385742000001,0.035014646428571425,0.0072014857142857144,0.05202650242,0.05562599142000001,morloc,cc,15,0
"./nexus.py cc 16 '""../test-data-00MB.txt""'",0.0539322613088889,0.0013488903430710199,0.053668768420000006,0.03495140370370371,0.0074081155555555545,0.05200069042,0.06141855142000001,morloc,cc,16,0
"./nexus.py cc 192 '""../test-data-00MB.txt""'",0.05776581311846153,0.0012672658978140738,0.05757760008,0.03563075153846154,0.0076932561538461544,0.05631471208,0.06459109708,morloc,cc,192,0
"./nexus.py cc 2 '""../test-data-00MB.txt""'",0.05105960754068968,0.0009662884653335691,0.05099329292,0.032907751724137936,0.008501240689655168,0.04964518742000001,0.056732670420000006,morloc,cc,2,0
"./nexus.py cc 256 '""../test-data-00MB.txt""'",0.05748335767615384,0.0012729068490027104,0.05732244308000001,0.03465257846153847,0.008199949230769228,0.055680533080000004,0.06534200808,morloc,cc,256,0
"./nexus.py cc 3 '""../test-data-00MB.txt""'",0.05112335933071429,0.0007876837341033236,0.05120451392000001,0.03359836071428572,0.007884481428571427,0.049300153420000006,0.05278792142,morloc,cc,3,0
"./nexus.py cc 32 '""../test-data-00MB.txt""'",0.056816046733846166,0.001424004790058972,0.05682786858,0.03436105923076923,0.008929397692307692,0.054392116080000004,0.06442721308,morloc,cc,32,0
"./nexus.py cc 384 '""../test-data-00MB.txt""'",0.05813273839372549,0.0005260212550519794,0.05815379408,0.034738834117647055,0.00832626823529412,0.056998507080000003,0.059035048080000006,morloc,cc,384,0
"./nexus.py cc 4 '""../test-data-00MB.txt""'",0.051733759314736866,0.001313664195652601,0.05163221942000001,0.03444670877192981,0.007283345964912281,0.04988480742,0.05970965242,morloc,cc,4,0
"./nexus.py cc 4 '""../test-data-00MB.txt""'",0.06292451058434784,0.0007406055907452021,0.06292852778000001,0.03631682782608696,0.007251917391304346,0.061477806780000005,0.06418849878,morloc,cc,4,0
"./nexus.py cc 4 '""../test-data-100MB.txt""'",0.2689479715072727,0.0006967170472811973,0.26888124178,0.03504520727272728,0.008465094545454544,0.26793566877999997,0.27006644378,morloc,cc,4,10
"./nexus.py cc 4 '""../test-data-10MB.txt""'",0.08461690958000001,0.001742120546852005,0.08431296778000001,0.033979737142857146,0.008884943999999997,0.08272998378,0.09315052678,morloc,cc,4,1
"./nexus.py cc 4 '""../test-data-110MB.txt""'",0.28852691178,0.0020599346119662193,0.28805860027999997,0.036210479999999996,0.007908259999999997,0.28588107178,0.29160044277999997,morloc,cc,4,11
"./nexus.py cc 4 '""../test-data-120MB.txt""'",0.30741424778000004,0.0019086847419623812,0.30734677028,0.03609478,0.00821246,0.30447062078,0.31155642678,morloc,cc,4,12
"./nexus.py cc 4 '""../test-data-130MB.txt""'",0.32950557208,0.0015026780246102903,0.33007479928,0.03592437999999999,0.00854756,0.32648716178,0.33136327378,morloc,cc,4,13
"./nexus.py cc 4 '""../test-data-140MB.txt""'",0.35186682838000005,0.0015014454522624657,0.35152355428,0.03496158,0.010478103999999999,0.35044523778,0.35556976478,morloc,cc,4,14
"./nexus.py cc 4 '""../test-data-150MB.txt""'",0.37248940358000004,0.0015585555126465128,0.37260044327999997,0.035133279999999996,0.010230659999999999,0.37033309178,0.37483511378,morloc,cc,4,15
"./nexus.py cc 4 '""../test-data-160MB.txt""'",0.39310004808,0.0016084098344344227,0.39321719227999996,0.03515608,0.01070816,0.38913544378,0.39508217078,morloc,cc,4,16
