command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
./cmain 0 ../test-data-100MB.txt,0.09476785570258064,0.0007962858582632828,0.09476669238000002,0.016690309677419354,0.0773622258064516,0.09273364138000001,0.09639110938,C,loading,0,10
./cmain 0 ../test-data-110MB.txt,0.10333231255857146,0.0012755131335333559,0.10340145138000001,0.02154020714285714,0.08106774999999998,0.10068621638000001,0.10714400938000002,C,loading,0,11
./cmain 0 ../test-data-120MB.txt,0.1117902177874074,0.0009305285377303774,0.11201075238000001,0.02236611851851852,0.08865214814814815,0.10971735038000001,0.11381315538000002,C,loading,0,12
./cmain 0 ../test-data-130MB.txt,0.12103198029666667,0.0011681828727368921,0.12119578838,0.02363689166666666,0.09653470833333334,0.11798120838000001,0.12326826438,C,loading,0,13
./cmain 0 ../test-data-140MB.txt,0.1297482871527273,0.0009223586903032866,0.12974574888,0.023443054545454547,0.10544436363636364,0.12776856738,0.13151159838,C,loading,0,14
./cmain 0 ../test-data-150MB.txt,0.13838272595142856,0.0009647576150692267,0.13868988338,0.02768798095238095,0.10982252380952383,0.13643408438,0.13976607338,C,loading,0,15
./cmain 0 ../test-data-160MB.txt,0.14695299772999998,0.0009946092299437457,0.14707900788,0.029333399999999992,0.11672260000000001,0.14372123638,0.14835955138,C,loading,0,16
"./nexus pr 1 '""../test-data-00MB.txt""'",0.2401844962876923,0.018233844977954675,0.23013140798,0.0021491615384615385,0.00032256153846153845,0.22910930698,0.27980388698,morloc,pr,1,0
"./nexus pr 2 '""../test-data-00MB.txt""'",0.27219287498,0.01715692418228379,0.27925638998,0.0015773583333333334,0.0014953,0.24335960898,0.28874988098000004,morloc,pr,2,0
"./nexus pr 4 '""../test-data-00MB.txt""'",0.25749605889666666,0.02376306127619395,0.24753776498000002,0.002028725,0.0005157916666666667,0.23455029298000002,0.28702273898,morloc,pr,4,0
"./nexus pr 8 '""../test-data-00MB.txt""'",0.25299348608,0.019883300562148605,0.24257327998,0.00144663,0.0008201499999999999,0.24165875398,0.29058730498,morloc,pr,8,0
"./nexus pr 16 '""../test-data-00MB.txt""'",0.25899785878000003,0.004985073663518904,0.25790027548,0.0013235999999999999,0.00105076,0.25572996698,0.27274822998000003,morloc,pr,16,0
"./nexus pr 32 '""../test-data-00MB.txt""'",0.28571211098,0.0008637863703469267,0.28575248598,0.0017017,0.00060395,0.28395201698,0.28694042698,morloc,pr,32,0
"./nexus pr 64 '""../test-data-00MB.txt""'",0.34565008788000007,0.006976739227625683,0.34220400748,0.0016656000000000002,0.00059065,0.33901089098000003,0.35820035898,morloc,pr,64,0
"./nexus pr 128 '""../test-data-00MB.txt""'",0.46186070298000004,0.0028563854390991233,0.46081541748000004,0.0017624999999999997,0.00050804,0.45885715598000004,0.46854396698,morloc,pr,128,0
"./nexus pr 256 '""../test-data-00MB.txt""'",0.71433174338,0.0073087630015776,0.7110033929800001,0.0013815000000000001,0.0009010499999999999,0.7092586529800001,0.7307877409800001,morloc,pr,256,0
"./nexus pr 512 '""../test-data-00MB.txt""'",1.4083346019799998,0.004979786061476391,1.40664274998,0.001623,0.00076355,1.40303164298,1.4165792479800001,morloc,pr,512,0
"./nexus pr 1024 '""../test-data-00MB.txt""'",2.8153881052800003,0.010160083276510166,2.81658492998,0.00162913,0.0007811399999999999,2.79305406898,2.82728568298,morloc,pr,1024,0
"./nexus pr 2048 '""../test-data-00MB.txt""'",6.001870716480001,0.015890093697630808,6.0015986224799995,0.00196993,0.00035382,5.97986443298,6.02243583998,morloc,pr,2048,0
"./nexus pr 4096 '""../test-data-00MB.txt""'",13.227298303680001,0.056022696705693244,13.244908240480001,0.0013370300000000001,0.0009676600000000001,13.140066086980001,13.31892712298,morloc,pr,4096,0
"./nexus pr 8192 '""../test-data-00MB.txt""'",29.466401579279996,0.06229014661359104,29.481051509479997,0.0016753999999999998,0.0005553399999999999,29.36262431998,29.579517309979998,morloc,pr,8192,0
